Tag,ID
caret,0x55A20797
checkbox,0x56C0017A
close-button,0x8CC743F3
collapse-header,0xB4754405
collapse-header-closed,0x6F91B822
collapse-header-content,0x045505ED
collapse-header-trigger,0x997C7A55
color-accent,0x83B56B5A
color-accent-hover,0xF22637C4
color-border,0xFA0805EE
color-hover,0x8142D235
color-picker-size,0x74246741
color-surface,0xB0308B8C
color-surface-dark,0x4602E159
color-surface-light,0xE896760A
color-text,0x6F4A66BD
column,0xD4230ECF
combo-box,0xC658B7CA
combo-box-item,0xB865B94E
combo-box-item-multi,0xBFCA2598
combo-box-item-selected,0xDDFF613C
combo-box-popup,0xF8761C94
dock-node-tab-panel,0xB28CA89A
dock-tab-item,0x1DB41C4A
dock-tab-item-selected,0x2948A97F
dock-tabbar,0x6525D522
dock-tabbar-menu,0x4986BB32
docked-window,0x06FFC182
dockspace-drop-zone,0x63C55107
dockspace-node,0xBFDC4506
dockspace-node-fit,0x61168F8D
dockspace-node-fit-width,0xA0506791
dockspace-resize-helper,0x5FD17F53
dockspace-resize-helper-drag,0x25F62CA2
global,0x3BE7F102
gradient-slider,0x5043E2F0
gradient-slider-grab,0xE100CA9A
gradient-slider-grab-border,0x50332FFE
image-button,0x26B85E4C
main-menu-bar,0x7D6CD92D
main-menu-item,0x68EED42A
menu-bar-item,0x6901B54B
menu-popup,0x657446C3
menu-shortcut,0x38F82579
modal-backdrop,0x52D1C7A0
modal-batch-label,0xF6575AC2
modal-controls-area,0xF27D7204
modal-header,0x15C39263
modal-icon,0xE02BC99E
modal-message-area,0xC2803F64
modal-title,0xCED96079
modal-window,0x928407FE
multiline-caret,0x6F32B234
multiline-textbox,0x6D70C923
no-pad,0xFFDEF9D5
placeholder,0x10D00E62
progress-bar,0xE89A0A98
progress-bar-active,0xC3D79885
radio-button,0x51A88756
radio-button-indicator,0x148E18ED
rubber-band,0x0F83C1EC
scrollbar-thumb,0xA4C00967
scrollbar-thumb-internal,0xC058051B
scrollbar-track,0x52DEF95A
scrollbar-track-internal,0xBB5B539B
selection,0x8CE92FAF
separator,0x497EB43C
slider,0x2B6F51CE
slider-grab,0x4C03D5B0
switch-button,0x3AEAF9C7
switch-button-grab,0xE051D35B
switch-button-on,0xBA1C062B
tabbar,0x2C676836
tabbar-change-icon,0xD9453085
tabbar-item,0x3A854A65
tabbar-item-selected,0x90A353EA
tabbar-popup,0xD01DA2C2
tabbar-popup-button,0x78FCD090
tabbar-popup-item,0xFC0B6E12
table,0xB12BF9CD
table-cell,0xF1187926
table-header-cell,0x559C3B12
table-resize-border,0x0470DEAD
table-row-alt,0xC24AB568
table-tree-resize-border,0x56DEA60A
text-button,0xB0CFEF4B
text-drag-icon,0xF67AC9E8
textbox,0xFD48AA2F
titlebar,0x1B0FAC37
titlebar-icon,0xFF3F65D1
titlebar-leading-region,0xA353C301
titlebar-menu-bar,0xBB91FD86
titlebar-menu-item,0xF663F1C5
tooltip,0x562B8FAF
transparent-button,0x3A33E29B
tree,0x1FF1B3F1
tree-cell,0xCB556FD5
tree-collapse-icon,0x993CDD14
tree-line,0x371BFC8B
tree-reorder-indicator,0x827D0E2F
tree-row-alt,0x29AAFEE3
window,0x9AC9A862
window-caption-button,0x060955B4
window-caption-close-button,0x6E25085F
window-header,0x98911FB1
window-header-menu,0x840A119C
window-menu-bar,0xBB7B1FA6
