Tag,ID
caret,0x069C3BE49
checkbox,0x9224482C
close-button,0x5B258693
color-picker-size,0x81C54C6E
color_accent,0xEB77CDDB
color_accent-hover,0x83B62E70
color_active,0x7F6F35AB
color_border,0x9460D337
color_hover,0x4AE2596D
color_surface,0x831866B5
color_surface-light,0xF70C7D2E
color_text,0x86874D6E
column,0xE14358E9
combo-box,0x48F5BBCA
combo-box-item,0xF2B7E06E
combo-box-item-selected,0xB7EA954D
combo-box-popup,0xC94B7B61
global,0x00000000
gradient-slider,0x9C0AE52D
gradient-slider-grab,0x4B49A40E
gradient-slider-grab-border,0xA91B53C2
image-button,0xF669C205
main-menu-bar,0x5F42BA15
main-menu-item,0xDD0667CD
menu-bar-item,0x62F8CAAA
menu-popup,0x0EF2EE30
menu-shortcut,0x94020AC8
modal-batch-label,0xBE4E3AEA
modal-controls-area,0xECEB5187
modal-header,0x01BC9DB3
modal-icon,0x02C36C01
modal-message-area,0xB1C3113D
modal-title,0xDFCAD7A0
modal-window,0x02076CEE
multiline-caret,0x7D6F3E2A
no-pad,0x907B6DA8
placeholder,0xB859984F
radio-button,0x4D3217F1
radio-button-indicator,0xFE07F470
rubber-band,0x46F839BF
scrollbar-thumb,0x0DA3B8EE
scrollbar-thumb-internal,0x1791BD20
scrollbar-track,0x5E57D9C1
scrollbar-track-internal,0xFF44005B
selection,0xC943AC1D
separator,0x3EF7C2B1
slider,0x96FAB223
slider-grab,0xCA7863FA
switch-button,0x5265F0C2
switch-button-grab,0xA20B0D91
switch-button-on,0x8656429F
tab-bar-item,0x6F421EAC
tab-bar-item-selected,0x7E54D686
tab-bar-popup,0x2E443728
tabbar-popup-button,0x9041AD68
text-button,0x6544FF93
text-drag-icon,0x3D493314
textbox,0x37C7A6D1
titlebar,0xDBECC2C6
titlebar-icon,0x5A7E4E91
titlebar-leading-region,0xB20D45EF
titlebar-menu-bar,0x6541ADB5
titlebar-menu-item,0xD9F76C8A
tooltip,0x1E1CB209
transparent-button,0x5E496C05
window,0xB4382179
window-caption-button,0xEF0A4C09
window-caption-close-button,0x561CF733
window-header,0x663566BE
window-menu-bar,0xC37C8F4B
